Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves
"Alekhine Defense, Balogh Variation",,692,B03,2018-06-22,2247,2225,40.80%,24.30%,35.00%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4
"Alekhine Defense, Brooklyn Variation",,228,B02,2018-06-27,2145,2193,29.80%,22.40%,47.80%,1.e4 Nf6 2.e5 Ng8
"Alekhine Defense, Exchange Variation",,6485,B03,2018-07-06,2244,2194,40.80%,27.70%,31.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6
"Alekhine Defense, Four Pawns Attack",,881,B03,2018-06-20,2187,2130,39.70%,23.20%,37.10%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4
"Alekhine Defense, Four Pawns Attack, Fianchetto Variation",,259,B03,2018-05-20,2122,2178,37.80%,21.20%,40.90%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6
"Alekhine Defense, Four Pawns Attack, Main Line",,1207,B03,2018-07-01,2243,2190,41.00%,25.90%,33.10%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3
"Alekhine Defense, Four Pawns Attack, Trifunovic Variation",,323,B03,2018-05-10,2231,2277,35.90%,24.80%,39.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5
"Alekhine Defense, General",,524,B02,2018-06-29,2032,2077,42.20%,25.00%,32.80%,1.e4 Nf6
"Alekhine Defense, Hunt Variation, Lasker Simul Gambit",,334,B02,2018-06-27,2205,2178,34.10%,23.60%,42.20%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4
"Alekhine Defense, Maroczy Variation",,931,B02,2018-07-09,2174,2174,36.60%,25.70%,37.70%,1.e4 Nf6 2.d3
"Alekhine Defense, Modern Variation",,501,B04,2018-06-25,2397,2336,43.50%,31.70%,24.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3
"Alekhine Defense, Modern Variation, Alburt Variation",,2626,B04,2018-06-30,2250,2294,28.30%,30.30%,41.40%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6
"Alekhine Defense, Modern Variation, Alekhine Gambit",,120,B04,2018-06-11,2097,2081,36.70%,22.50%,40.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2
"Alekhine Defense, Modern Variation, Keres Variation",,269,B04,2018-03-04,2442,2383,45.70%,36.40%,17.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4
"Alekhine Defense, Modern Variation, Larsen Variation",,1187,B04,2018-06-21,2243,2283,22.80%,35.70%,41.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
"Alekhine Defense, Modern Variation, Larsen Variation, Miles Line",,1481,B04,2018-06-18,2273,2306,25.90%,35.90%,38.20%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6
"Alekhine Defense, Modern Variation, Larsen-Haakert Variation",,685,B04,2018-06-25,2171,2193,32.30%,21.50%,46.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6
"Alekhine Defense, Modern Variation, Main Line",,5096,B05,2018-07-02,2209,2269,25.10%,30.20%,44.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
"Alekhine Defense, Modern Variation, Panov Variation",,183,B05,2018-05-31,2305,2269,44.30%,22.40%,33.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3
"Alekhine Defense, Modern Variation, Schmid Variation",,688,B04,2018-07-04,2300,2333,31.70%,34.30%,34.00%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6
"Alekhine Defense, Normal Variation",,981,B02,2018-06-30,2142,2173,34.00%,26.70%,39.30%,1.e4 Nf6 2.e5 Nd5
"Alekhine Defense, Normal Variation",,1178,B03,2018-06-27,2128,2159,41.30%,26.80%,31.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6
"Alekhine Defense, Saemisch Attack",,1452,B02,2018-07-06,2244,2212,37.00%,29.90%,33.10%,1.e4 Nf6 2.e5 Nd5 3.Nc3
"Alekhine Defense, Scandinavian Variation",,4898,B02,2018-06-24,2133,2153,39.40%,28.40%,32.20%,1.e4 Nf6 2.Nc3 d5
"Alekhine Defense, Spielmann Gambit",,140,B02,2017-11-19,2260,2208,40.00%,17.90%,42.10%,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6
"Alekhine Defense, Two Pawn Attack",,397,B02,2018-06-23,1981,1958,36.00%,18.40%,45.60%,1.e4 Nf6 2.e5 Nd5 3.c4
"Alekhine Defense, Two Pawn Attack, Lasker Variation",,964,B02,2018-06-30,2209,2202,32.90%,30.30%,36.80%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5
"Anderssen Opening, General",,1308,A00,2018-06-25,2124,2126,35.70%,25.60%,38.70%,1.a3
"Benko Gambit, Accepted, Central Storming Variation",,209,A57,2018-02-01,2265,2245,39.20%,22.50%,38.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4
"Benko Gambit, Accepted, Dlugy Variation",,1526,A57,2018-06-24,2290,2271,42.00%,25.00%,33.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3
"Benko Gambit, Accepted, Fianchetto Variation",,2823,A58,2018-07-01,2288,2270,42.50%,29.20%,28.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2
"Benko Gambit, Accepted, Fully Accepted Variation",,4326,A58,2018-07-07,2274,2260,37.90%,30.30%,31.70%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6
"Benko Gambit, Accepted, King Walk Variation",,1706,A59,2018-07-07,2314,2275,41.40%,34.10%,24.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3
"Benko Gambit, Accepted, Modern Variation",,1982,A57,2018-07-07,2340,2305,43.40%,28.00%,28.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3
"Benko Gambit, Accepted, Pawn Return Variation",,3610,A57,2018-06-24,2242,2226,39.60%,26.30%,34.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6
"Benko Gambit, Accepted, Yugoslav with 7...Bxf1, Nge2",,172,A59,2018-07-07,2228,2223,40.70%,20.40%,39.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2
"Benko Gambit, Accepted, Yugoslav without 7...Bxf1",,338,A59,2018-06-25,2147,2136,36.70%,28.70%,34.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4
"Benko Gambit, Declined, Bishop Attack",,160,A57,2018-05-25,2302,2249,40.60%,29.40%,30.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5
"Benko Gambit, Declined, Main Line",,3039,A57,2018-06-29,2354,2319,45.20%,27.80%,27.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3
"Benko Gambit, Declined, Pseudo-Saemisch",,204,A57,2018-06-27,2169,2182,41.20%,17.20%,41.70%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3
"Benko Gambit, Declined, Quiet Line",,662,A57,2018-06-27,2311,2291,44.40%,24.80%,30.80%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2
"Benko Gambit, Declined, Sosonko Variation",,688,A57,2018-05-12,2224,2214,35.60%,26.00%,38.40%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4
"Benko Gambit, General",,1776,A57,2018-07-07,2118,2125,42.30%,21.60%,36.00%,1.d4 Nf6 2.c4 c5 3.d5 b5
"Benko Gambit, Zaitsev System",,665,A58,2018-06-17,2069,2077,32.30%,20.10%,47.50%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3
"Benko Gambit, Zaitsev Variation, Nescafe Frappe Attack",,657,A57,2018-06-27,2231,2230,37.30%,16.60%,46.10%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5
"Benoni Defense, Benoni Gambit Accepted",,622,A43,2018-06-23,2102,2113,31.00%,24.30%,44.70%,1.d4 c5 2.dxc5
